5,6143
6,9727
1,1164
2,5902
1,4361
5,8178
6,5251
2,0336
5,7473
6,2391
1,2698
4,416
1,3466
1,5118
1,0131
6,1018
1,7157
1,4768
6,0949
6,8674
1,5722
5,7781
6,776
4,6851
5,2822
6,5015
2,1628
6,2497
6,5918
6,1677
6,7631
1,8905
1,2781
2,7072
1,1259
6,2898
2,8248
6,376
6,9068
2,6666
3,6371
2,034
5,5012
6,9997
1,2798
1,21
6,9877
1,6891
1,0641
5,661
1,171
2,03
2,9855
1,055
1,0202
1,1312
2,4028
6,9526
6,0947
4,0511
1,7374
5,8621
5,8407
1,0852
6,3924
1,6862
6,8496
1,0026
2,0408
4,6053
6,5483
1,8531
1,9232
6,8125
1,6362
6,4009
6,2306
2,5178
6,8369
6,5332
1,5871
6,3558
6,9584
1,6613
6,4649
1,3681
1,5101
2,4051
6,4577
6,3596
6,6733
6,9455
1,2755
6,4412
1,8348
6,5248
3,9219
6,718
1,1545
6,6986
