70,8991
70,2191
70,5567
70,4748
69,9099
70,9662
70,5052
70,6212
70,7205
70,8325
70,9597
70,1472
70,5958
70,9934
70,7857
70,8112
70,5227
70,8531
70,3125
70,4119
70,8749
70,9976
70,9764
70,6635
70,7064
70,7881
70,673
70,9879
69,9578
70,8951
70,9825
70,7971
70,4496
70,9649
70,6573
70,9189
70,5517
70,9592
70,3977
70,6545
69,2847
70,7352
70,6873
70,841
70,6941
70,3916
70,7636
70,4606
70,8443
70,2479
70,5257
70,95
70,2383
70,6386
70,2767
70,8795
70,1883
70,6354
70,4947
70,5183
69,7948
69,0042
70,8807
70,3359
70,2625
70,9869
70,8757
70,0422
70,6948
70,8519
69,423
70,1428
70,7935
69,8182
70,7263
70,8483
70,8621
70,7656
70,8196
70,456
70,9006
70,4414
70,9354
70,6351
70,7566
70,8097
69,7446
70,9748
70,6778
70,8391
70,9457
70,0296
70,8926
70,7684
70,7533
70,8813
70,9498
70,8623
70,8447
70,5965
