182,11
182,4092
181,0196
185,9368
183,0503
186,3486
185,0747
179,7766
182,8141
180,5335
183,4333
185,142
184,2127
182,957
184,6142
183,6362
184,974
183,2832
183,1692
181,8628
181,2088
183,5473
178,0212
181,5146
184,2766
182,6275
181,8238
185,997
184,6326
184,0418
186,4175
182,6349
181,0163
183,701
182,7876
185,9718
183,285
184,2302
185,8482
183,8827
179,4608
184,5187
181,683
182,5102
182,8732
184,2616
182,5951
182,4039
183,8622
180,484
183,7579
180,2835
184,9589
183,5842
185,2374
183,7498
181,8721
186,0014
180,9592
181,4858
183,5074
178,233
184,3005
181,3111
183,0972
184,8414
185,7894
183,8206
182,9133
182,0076
179,3931
181,3821
182,7842
182,2525
180,8957
181,6831
183,1769
180,6272
187,9789
181,1854
183,7576
179,6497
180,0545
187,5565
179,4985
186,9114
180,4122
183,0044
182,3436
184,0836
185,2268
186,212
182,8664
180,7503
181,1032
182,9986
182,1467
181,2145
184,0431
183,1404
